labels,scores
0,0.03382901
0,0.07446877
0,0.043066088
0,0.01614776
0,0.017222302
0,0.07869191
0,0.020785473
0,0.025367413
0,0.069078386
0,0.035535343
0,0.02786249
0,0.072882086
0,0.037845854
0,0.027673667
0,0.07014126
0,0.018383516
0,0.0700808
0,0.024107898
0,0.04733988
0,0.020917589
0,0.03176299
0,0.016211033
0,0.014692706
0,0.036611095
0,0.03280237
0,0.020294433
0,0.024526896
0,0.009734178
0,0.0076429215
0,0.030005982
0,0.015055998
0,0.032727696
0,0.011551805
0,0.072327286
0,0.022154551
0,0.026204426
0,0.02653386
0,0.032863
0,0.022809565
0,0.028176347
0,0.022596825
0,0.025787124
0,0.018328283
0,0.011905343
0,0.008475388
0,0.025200976
0,0.010770923
0,0.021801712
0,0.034673534
0,0.0024428421
0,0.062917545
0,0.04174036
0,0.00868615
0,0.011853443
0,0.016220763
0,0.022477
0,0.08105441
0,0.058777798
0,0.006284455
0,0.026913987
0,0.014964521
0,0.07529772
0,0.027467577
0,0.061698105
0,0.017036922
0,0.048901938
0,0.044279005
0,0.039947826
0,0.041573357
0,0.043118007
0,0.03442048
0,0.06928949
0,0.13227525
0,0.055143714
0,0.105971
0,0.055023585
0,0.052585512
0,0.062740825
0,0.057321697
0,0.06978142
0,0.085092835
0,0.05958109
0,0.02388366
0,0.031074192
0,0.04724238
0,0.050989866
0,0.027734509
0,0.037300963
0,0.02156681
0,0.090072714
0,0.025396429
0,0.027316509
0,0.06411815
0,0.06963937
0,0.054910377
0,0.09851846
0,0.04099543
0,0.036138225
0,0.06267987
0,0.09837752
0,0.052246112
0,0.047151558
0,0.027075091
0,0.04055578
0,0.035718217
0,0.06925844
0,0.09615728
0,0.050593708
0,0.03221424
0,0.051332287
0,0.046280343
0,0.05794264
0,0.025995381
0,0.033942223
0,0.041568726
0,0.04425192
0,0.020521736
0,0.0244233
0,0.099919
0,0.04737303
0,0.054979246
0,0.045407105
0,0.029141597
0,0.06715592
0,0.06446607
0,0.034221325
0,0.039676357
0,0.022565018
0,0.062573224
0,0.08611813
0,0.027994618
0,0.09628075
0,0.03459498
0,0.0781608
0,0.07656348
0,0.10122496
0,0.08420486
0,0.07548363
0,0.111505486
0,0.071405925
0,0.0514515
0,0.036911815
0,0.081097595
0,0.046351712
0,0.027653152
0,0.046785228
0,0.08652588
0,0.09105975
0,0.036311004
0,0.041266285
0,0.05296914
0,0.03929613
0,0.024177877
0,0.04570833
0,0.055228714
0,0.05038886
0,0.022722052
0,0.063302636
0,0.07126691
0,0.06822405
0,0.098159015
0,0.034647744
0,0.027146753
0,0.06278046
0,0.045053497
0,0.025916398
0,0.030378547
0,0.021764336
0,0.09858776
0,0.023879739
0,0.095702544
0,0.07986226
0,0.034685973
0,0.08474404
0,0.023623988
0,0.051404506
0,0.072111145
0,0.058762763
0,0.11268254
0,0.024845567
0,0.045088567
0,0.073476724
0,0.03887905
0,0.08248804
0,0.061926473
0,0.030909235
0,0.051171146
0,0.027134726
0,0.03898539
0,0.032203265
0,0.048768625
0,0.057908747
0,0.027990967
0,0.015621964
0,0.07544396
0,0.04916592
0,0.076066844
0,0.022496255
0,0.029143136
0,0.023992134
0,0.040746164
0,0.021488026
0,0.038690668
0,0.030429479
0,0.016726943
0,0.018412324
0,0.034893014
0,0.03186367
0,0.067428835
0,0.097338796
0,0.07065044
0,0.015643457
0,0.01653519
0,0.0126718655
0,0.091541305
0,0.06704964
0,0.037275378
0,0.010067585
0,0.009451331
0,0.022140576
0,0.05712532
0,0.015574217
0,0.014641268
0,0.012528443
0,0.06409102
0,0.01819038
0,0.039751522
0,0.051571917
0,0.032025658
0,0.012921243
0,0.012975282
0,0.07246218
0,0.015508807
0,0.042705476
0,0.017717563
0,0.01585494
0,0.036369238
0,0.0147512285
0,0.028857373
0,0.016293956
0,0.014020205
0,0.019813776
0,0.03650878
0,0.07337592
0,0.023222718
0,0.027509203
0,0.040851872
0,0.016060477
0,0.05483618
0,0.042454846
0,0.013142091
0,0.07480562
0,0.025061496
0,0.090504125
0,0.041537315
0,0.035814043
0,0.046563428
0,0.0065352763
0,0.008604258
0,0.03642329
0,0.12285273
0,0.009382953
0,0.06985129
0,0.021562895
0,0.060659457
0,0.015361211
0,0.013988209
0,0.059360582
0,0.00848601
0,0.11939457
0,0.040878627
0,0.020222126
0,0.039953705
0,0.002697607
0,0.015953174
0,0.024924679
0,0.011887627
0,0.019922735
0,0.030870976
0,0.023862591
0,0.04692051
0,0.017676886
0,0.010551118
0,0.068161376
0,0.09523397
0,0.016918318
0,0.056072053
0,0.059256338
0,0.0056474186
0,0.038362347
0,0.02231971
0,0.017994817
0,0.03905844
0,0.24906021
0,0.015543192
0,0.05537104
0,0.016864901
0,0.03703476
0,0.014622031
0,0.02838212
0,0.035710704
0,0.016994217
0,0.041716777
0,0.00867857
0,0.032948244
0,0.049271572
0,0.05911733
0,0.033369903
0,0.01639029
0,0.08606217
0,0.05071691
0,0.08338672
0,0.029249663
0,0.28719217
0,0.01065011
0,0.053014733
0,0.010185507
0,0.012624326
0,0.041784484
0,0.020891538
0,0.034715887
0,0.025350895
0,0.05187789
0,0.046810236
0,0.079030596
0,0.054881904
0,0.042326473
0,0.04029059
0,0.046881255
0,0.041163012
0,0.09080912
0,0.05832234
0,0.026029319
0,0.08738186
0,0.036140714
0,0.030070685
0,0.04483534
0,0.014713197
0,0.06554309
0,0.036237966
0,0.043527294
0,0.13208781
0,0.029692002
0,0.067184225
0,0.027791008
0,0.022083353
0,0.046560902
0,0.08018734
0,0.037160207
0,0.09308915
0,0.059685703
0,0.0279409
0,0.022715144
0,0.038624227
0,0.07634348
0,0.08439129
0,0.10235644
0,0.033363074
0,0.029154155
0,0.047390413
0,0.05793617
0,0.0365028
0,0.029866036
0,0.028744964
0,0.034995403
0,0.033993248
0,0.03009839
0,0.020456053
0,0.088753864
0,0.061227925
0,0.12945059
0,0.02876658
0,0.051183242
0,0.08169363
0,0.026708487
0,0.0098732095
0,0.06020797
0,0.035434403
0,0.027779311
0,0.096911706
0,0.036417916
0,0.03932391
0,0.02001804
0,0.05392049
0,0.046842042
0,0.04884483
0,0.04279151
0,0.05586155
0,0.0934075
0,0.08480364
0,0.029240455
0,0.031903025
0,0.049571484
0,0.05370738
0,0.09700863
0,0.04282878
0,0.016976297
0,0.013735829
0,0.022396507
0,0.107482396
0,0.080058135
